,country,most_important_feature,feature_value,# functioning,# not functioning,percentage_broken
340,Sierra Leone,age_well_years,18.4,,1.0,100.0
341,Sierra Leone,age_well_years,17.5,5.0,1.0,16.67
342,Sierra Leone,age_well_years,17.3,3.0,1.0,25.0
343,Sierra Leone,age_well_years,17.0,1.0,1.0,50.0
344,Sierra Leone,age_well_years,16.5,12.0,1.0,7.69
345,Sierra Leone,age_well_years,16.3,2.0,1.0,33.33
346,Sierra Leone,age_well_years,14.4,1.0,1.0,50.0
347,Sierra Leone,age_well_years,21.3,2.0,1.0,33.33
348,Sierra Leone,age_well_years,11.0,1.0,1.0,50.0
349,Sierra Leone,age_well_years,9.0,23.0,1.0,4.17
350,Sierra Leone,age_well_years,8.0,7.0,1.0,12.5
351,Sierra Leone,age_well_years,7.0,6.0,1.0,14.29
352,Sierra Leone,age_well_years,6.0,9.0,1.0,10.0
353,Sierra Leone,age_well_years,4.0,11.0,1.0,8.33
354,Sierra Leone,age_well_years,0.3,12.0,1.0,7.69
355,Sierra Leone,age_well_years,20.5,1.0,1.0,50.0
356,Sierra Leone,age_well_years,22.9,15.0,1.0,6.25
357,Sierra Leone,age_well_years,45.9,,1.0,100.0
358,Sierra Leone,age_well_years,35.9,2.0,1.0,33.33
359,Sierra Leone,age_well_years,45.7,3.0,1.0,25.0
360,Sierra Leone,age_well_years,45.2,6.0,1.0,14.29
361,Sierra Leone,age_well_years,43.2,1.0,1.0,50.0
362,Sierra Leone,age_well_years,43.1,3.0,1.0,25.0
363,Sierra Leone,age_well_years,40.4,,1.0,100.0
364,Sierra Leone,age_well_years,37.5,,1.0,100.0
365,Sierra Leone,age_well_years,36.4,2.0,1.0,33.33
366,Sierra Leone,age_well_years,35.2,9.0,1.0,10.0
367,Sierra Leone,age_well_years,25.3,8.0,1.0,11.11
368,Sierra Leone,age_well_years,34.9,6.0,1.0,14.29
369,Sierra Leone,age_well_years,33.1,4.0,1.0,20.0
370,Sierra Leone,age_well_years,32.5,,1.0,100.0
371,Sierra Leone,age_well_years,31.5,2.0,1.0,33.33
372,Sierra Leone,age_well_years,29.3,6.0,1.0,14.29
373,Sierra Leone,age_well_years,28.4,,1.0,100.0
374,Sierra Leone,age_well_years,25.5,8.0,1.0,11.11
375,Sierra Leone,age_well_years,23.0,2.0,1.0,33.33
376,Sierra Leone,age_well_years,-0.5,1.0,,
377,Sierra Leone,age_well_years,-0.4,2.0,,
378,Sierra Leone,age_well_years,0.0,5.0,,
379,Sierra Leone,age_well_years,0.4,15.0,,
380,Sierra Leone,age_well_years,5.0,11.0,,
381,Sierra Leone,age_well_years,10.3,4.0,,
382,Sierra Leone,age_well_years,12.0,1.0,,
383,Sierra Leone,age_well_years,13.3,10.0,,
384,Sierra Leone,age_well_years,13.4,1.0,,
385,Sierra Leone,age_well_years,14.3,8.0,,
386,Sierra Leone,age_well_years,15.3,5.0,,
387,Sierra Leone,age_well_years,15.4,1.0,,
388,Sierra Leone,age_well_years,16.0,2.0,,
389,Sierra Leone,age_well_years,16.4,1.0,,
390,Sierra Leone,age_well_years,17.4,1.0,,
391,Sierra Leone,age_well_years,19.0,1.0,,
392,Sierra Leone,age_well_years,19.3,3.0,,
393,Sierra Leone,age_well_years,19.5,5.0,,
394,Sierra Leone,age_well_years,20.0,2.0,,
395,Sierra Leone,age_well_years,20.3,6.0,,
396,Sierra Leone,age_well_years,20.4,2.0,,
397,Sierra Leone,age_well_years,22.0,4.0,,
398,Sierra Leone,age_well_years,22.5,1.0,,
399,Sierra Leone,age_well_years,24.4,1.0,,
400,Sierra Leone,age_well_years,24.5,1.0,,
401,Sierra Leone,age_well_years,25.0,7.0,,
402,Sierra Leone,age_well_years,26.5,2.0,,
403,Sierra Leone,age_well_years,29.5,2.0,,
404,Sierra Leone,age_well_years,30.0,2.0,,
405,Sierra Leone,age_well_years,30.5,6.0,,
406,Sierra Leone,age_well_years,31.0,2.0,,
407,Sierra Leone,age_well_years,31.3,1.0,,
408,Sierra Leone,age_well_years,32.3,6.0,,
409,Sierra Leone,age_well_years,33.3,1.0,,
410,Sierra Leone,age_well_years,34.3,3.0,,
411,Sierra Leone,age_well_years,34.5,1.0,,
412,Sierra Leone,age_well_years,35.3,1.0,,
413,Sierra Leone,age_well_years,35.5,4.0,,
414,Sierra Leone,age_well_years,35.7,5.0,,
415,Sierra Leone,age_well_years,36.5,3.0,,
416,Sierra Leone,age_well_years,37.4,2.0,,
417,Sierra Leone,age_well_years,39.6,4.0,,
418,Sierra Leone,age_well_years,39.8,2.0,,
419,Sierra Leone,age_well_years,39.9,1.0,,
420,Sierra Leone,age_well_years,40.0,1.0,,
421,Sierra Leone,age_well_years,41.8,2.0,,
422,Sierra Leone,age_well_years,42.3,1.0,,
423,Sierra Leone,age_well_years,42.8,1.0,,
424,Sierra Leone,age_well_years,42.9,2.0,,
425,Sierra Leone,age_well_years,43.7,3.0,,
426,Sierra Leone,age_well_years,44.9,5.0,,
427,Sierra Leone,age_well_years,46.3,1.0,,
428,Sierra Leone,age_well_years,46.4,1.0,,
429,Sierra Leone,age_well_years,47.3,1.0,,
430,Sierra Leone,age_well_years,47.4,1.0,,
431,Sierra Leone,age_well_years,47.6,1.0,,
432,Sierra Leone,age_well_years,48.9,2.0,,
433,Sierra Leone,age_well_years,49.1,1.0,,
434,Sierra Leone,age_well_years,49.2,2.0,,
435,Sierra Leone,age_well_years,49.9,2.0,,
436,Sierra Leone,age_well_years,50.7,2.0,,
437,Sierra Leone,age_well_years,50.9,1.0,,
438,Sierra Leone,age_well_years,51.2,2.0,,
439,Sierra Leone,age_well_years,51.8,1.0,,
440,Sierra Leone,age_well_years,51.9,2.0,,
441,Sierra Leone,age_well_years,52.6,2.0,,
442,Sierra Leone,age_well_years,52.9,2.0,,
443,Sierra Leone,age_well_years,53.9,1.0,,
444,Sierra Leone,age_well_years,54.6,2.0,,
445,Sierra Leone,age_well_years,54.9,2.0,,
446,Sierra Leone,age_well_years,55.6,1.0,,
