Row ID,country_name,water_source,water_tech,status_id,management,pay,#installer,install_year,#status,#source,#adm1,#adm2,#wpdx_id,#report_date,#country_id,#activity_id,#data_lnk,#orig_lnk,photo_lnk,#converted,#created,#updated,lat_deg,lon_deg,Location,Count,#fecal_coliform_presence,#fecal_coliform_value,#subjective_quality,val1,val2
66209,Sierra Leone,Pump on hand-dug well,India Mark,yes,,No- water is free,United Nations (UN),2010,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066209,01/30/2012 12:00:00 AM +0000,SL,aezs3od5,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1628,-11.0617,"(8.1628, -11.0617)",1,,,,,
66210,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,water aid,2003,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066210,03/21/2012 12:00:00 AM +0000,SL,aepfebgw,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.15654,-11.0352,"(8.15654, -11.0352)",1,,,,,
66211,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,water aid,2003,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066211,03/21/2012 12:00:00 AM +0000,SL,aeqqfk9d,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.15734,-11.035399999999999,"(8.15734, -11.0354)",1,,,,,
66212,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,water aid,2003,Yes- but partly damaged. Pump damaged,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066212,03/21/2012 12:00:00 AM +0000,SL,aepqpjyq,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.15673,-11.035500000000001,"(8.15673, -11.0355)",1,,,,,
66213,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,water aid,2003,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066213,03/21/2012 12:00:00 AM +0000,SL,aer73p78,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.15761,-11.035600000000001,"(8.15761, -11.0356)",1,,,,,
66214,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,water aid,2003,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066214,03/21/2012 12:00:00 AM +0000,SL,aequllhz,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1574,-11.036,"(8.1574, -11.036)",1,,,,,
66215,Sierra Leone,Pump on hand-dug well,India Mark,no,,Only if there is a breakdown,GOAL,2004,No- broken down. Pump damaged,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066215,03/20/2012 12:00:00 AM +0000,SL,ab1yrnr1,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.07705,-11.026999999999999,"(8.07705, -11.027)",1,,,,,
66216,Sierra Leone,Pump on hand-dug well,India Mark,no,,Only if there is a breakdown,GOAL,2003,No- broken down. Pump damaged,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066216,03/20/2012 12:00:00 AM +0000,SL,aabi63rt,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.06105,-11.016999999999999,"(8.06105, -11.017)",1,,,,,
66217,Sierra Leone,Protected spring,,yes,,No- water is free,GOAL,2003,Yes- but partly damaged. Pipe(s) damaged or leaking,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066217,03/20/2012 12:00:00 AM +0000,SL,aak4cxy8,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.066269999999999,-11.0176,"(8.06627, -11.0176)",1,,,,,
66218,Sierra Leone,Pump on hand-dug well,India Mark,yes,,Only if there is a breakdown,GOAL,2003,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066218,03/20/2012 12:00:00 AM +0000,SL,aae9lhn4,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.06273,-10.9968,"(8.06273, -10.9968)",1,,,,,
